"","Identificacion","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles","ocupacion","Factor.de.expansion","Ingresos_total"
"12583","5056418-1-1","5056418 - 1","13","Femenino","(18,26]","Jefe de hogar","Soltero","Básica secundaria","No","Otras actividades de servicios","Menos de 1 año","(39,48]","No asalariado",308.457677292707,726600
"12584","5056418-1-2","5056418 - 1","13","Femenino","(14,18]","Otros parientes","Soltero","Básica secundaria","No","Otras actividades de servicios","Menos de 1 año","(39,48]","No asalariado",308.457677292707,726600
"12585","5056421-1-1","5056421 - 1","13","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades de servicios","Mas de 5 años","(0,39]","No asalariado",322.355393398406,415200
"12586","5056441-1-1","5056441 - 1","13","Femenino","(59,100]","Jefe de hogar","Separado y/o viudo","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",291.776237612206,311400
"12587","5056441-1-2","5056441 - 1","13","Masculino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",291.776237612206,622800
"12588","5056441-1-3","5056441 - 1","13","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","No","Construcción","Menos de 1 año","(39,48]","No asalariado",291.776237612206,622800
"12589","5056457-1-7","5056457 - 1","13","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Elaboración de productos alimenticios","Mas de 5 años","(39,48]","Asalariado",187.942314849268,1138719.216
"12590","5056471-1-1","5056471 - 1","13","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",402.145614628547,1868400
"12591","5056471-1-2","5056471 - 1","13","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","No asalariado",402.145614628547,622800
"12592","5056471-1-3","5056471 - 1","13","Femenino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","No","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","Asalariado",402.145614628547,311400
"12593","5056571-1-1","5056571 - 1","15","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(39,48]","No asalariado",146.958217702384,415200
"12594","5056571-1-2","5056571 - 1","15","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",146.958217702384,207600
"12595","5056647-1-1","5056647 - 1","17","Femenino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",141.034515825643,373680
"12596","5056647-1-2","5056647 - 1","17","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","Asalariado",141.034515825643,960303.624
"12597","5056647-1-3","5056647 - 1","17","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]","Asalariado",141.034515825643,934200
"12598","5056647-1-4","5056647 - 1","17","Femenino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",141.034515825643,830400
"12599","5056661-1-1","5056661 - 1","17","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","Asalariado",184.022495487795,960303.624
"12600","5056661-1-3","5056661 - 1","17","Masculino","(18,26]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",184.022495487795,581280
"12601","5056703-1-1","5056703 - 1","17","Masculino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",204.475879692999,1038000
"12602","5056706-1-1","5056706 - 1","17","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",183.32875840388,934200
"12603","5056706-1-2","5056706 - 1","17","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",183.32875840388,1038000
"12604","5056749-1-1","5056749 - 1","17","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","No","Saneamiento y eliminación de desperdicios","Entre 1 y 5 años","(39,48]","Asalariado",162.875374198676,1553919.216
"12605","5056749-1-4","5056749 - 1","17","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","No asalariado",162.875374198676,747360
"12606","5056749-1-5","5056749 - 1","17","Femenino","(18,26]","Otros parientes","Casado y/o union libre","Superior o universitaria","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",162.875374198676,311400
"12607","5056778-1-1","5056778 - 1","17","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(48,130]","Asalariado",334.157953762543,960303.624
"12608","5056882-1-1","5056882 - 1","18","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Fabricación de sustancias y productos químicos","Entre 1 y 5 años","(48,130]","Asalariado",89.1548386284615,622800
"12609","5056882-1-2","5056882 - 1","18","Femenino","(18,26]","Nucleo familiar","Separado y/o viudo","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",89.1548386284615,633180
"12610","5056882-1-3","5056882 - 1","18","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",89.1548386284615,934200
"12611","5056882-1-4","5056882 - 1","18","Masculino","(18,26]","Otros parientes","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",89.1548386284615,726600
"12612","5056978-1-1","5056978 - 1","18","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",167.640437469099,859584.408
"12613","5057090-1-2","5057090 - 1","19","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Superior o universitaria","Si","Hogares privados con servicio doméstico","Menos de 1 año","(48,130]","Asalariado",155.636855415477,519000
"12614","5057170-1-1","5057170 - 1","19","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",155.306375829898,778500
"12615","5057170-1-2","5057170 - 1","19","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",155.306375829898,882300
"12616","5057252-1-1","5057252 - 1","20","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",199.600073307522,830400
"12617","5057252-1-3","5057252 - 1","20","Masculino","(14,18]","Otros parientes","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",199.600073307522,882300
"12618","5057265-1-1","5057265 - 1","20","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",166.102519643968,871920
"12619","5057265-1-2","5057265 - 1","20","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",166.102519643968,882300
"12620","5057281-1-3","5057281 - 1","20","Femenino","(59,100]","Otros parientes","Casado y/o union libre","Básica primaria","Si","Hogares privados con servicio doméstico","Menos de 1 año","(48,130]","Asalariado",89.2762296224086,415200
"12621","5057308-1-1","5057308 - 1","20","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",235.377205801857,1245600
"12622","5057308-1-3","5057308 - 1","20","Masculino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",235.377205801857,1017240
"12623","5057310-1-5","5057310 - 1","20","Femenino","(26,59]","Nucleo familiar","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","No asalariado",158.656366419231,415200
"12624","5057312-1-3","5057312 - 1","20","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",243.857555295444,622800
"12625","5057312-1-4","5057312 - 1","20","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades empresariales","Menos de 1 año","(39,48]","No asalariado",243.857555295444,311400
"12626","5057312-1-5","5057312 - 1","20","Masculino","(14,18]","Otros parientes","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",243.857555295444,415200
"12627","5057312-1-9","5057312 - 1","20","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Fabricación de productos de metal","Entre 1 y 5 años","(48,130]","No asalariado",243.857555295444,882300
"12628","5057312-1-12","5057312 - 1","20","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de productos de metal","Menos de 1 año","(48,130]","No asalariado",243.857555295444,467100
"12629","5057344-1-2","5057344 - 1","20","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Básica secundaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",124.975505340958,519000
"12630","5057445-1-2","5057445 - 1","23","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Mas de 5 años","(39,48]","No asalariado",114.686925919463,207600
"12631","5057480-1-1","5057480 - 1","23","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",152.045664685853,363300
"12632","5057480-1-2","5057480 - 1","23","Femenino","(14,18]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","No asalariado",152.045664685853,103800
"12633","5057480-1-3","5057480 - 1","23","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]","Asalariado",152.045664685853,311400
"12634","5057487-1-1","5057487 - 1","23","Femenino","(18,26]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]","No asalariado",163.281639172297,103800
"12635","5057505-1-3","5057505 - 1","23","Femenino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(39,48]","Asalariado",179.477543160915,960303.624
"12636","5057687-1-1","5057687 - 1","27","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]","No asalariado",30.4592262733104,830400
"12637","5057687-1-3","5057687 - 1","27","Masculino","(26,59]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",30.4592262733104,960303.624
"12638","5057955-1-1","5057955 - 1","44","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","No asalariado",193.234670704017,415200
"12639","5057967-1-5","5057967 - 1","44","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",242.171809704194,0
"12640","5057967-1-7","5057967 - 1","44","Masculino","(26,59]","Otros No parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",242.171809704194,622800
"12641","5057967-1-8","5057967 - 1","44","Femenino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",242.171809704194,207600
"12642","5057975-1-1","5057975 - 1","44","Masculino","(59,100]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Reciclaje de metalicos y no metalicos","Entre 1 y 5 años","(39,48]","No asalariado",48.3086676760043,622800
"12643","5057975-1-2","5057975 - 1","44","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","No","Hogares privados con servicio doméstico","Entre 1 y 5 años","(48,130]","Asalariado",48.3086676760043,207600
"12644","5057975-1-4","5057975 - 1","44","Femenino","(14,18]","Otros parientes","Soltero","Básica secundaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(48,130]","Asalariado",48.3086676760043,259500
"12645","5057977-1-1","5057977 - 1","44","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]","No asalariado",48.3086676760043,726600
"12646","5057977-1-5","5057977 - 1","44","Femenino","(26,59]","Otros No parientes","Soltero","Básica secundaria","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]","Asalariado",48.3086676760043,124560
"12647","5057979-1-1","5057979 - 1","44","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica primaria","Si","Actividades de servicios relacionas con la pesca","Entre 1 y 5 años","(0,39]","No asalariado",191.544930849229,415200
"12648","5057982-1-1","5057982 - 1","44","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",110.462293687465,622800
"12649","5057995-1-6","5057995 - 1","44","Femenino","(14,18]","Otros No parientes","Soltero","Básica secundaria","No","Hogares privados con servicio doméstico","Mas de 5 años","(39,48]","Asalariado",131.560845647899,934200
"12650","5058004-1-1","5058004 - 1","44","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Ninguno/No_sabe","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]","No asalariado",120.562630386881,259500
"12651","5058004-1-4","5058004 - 1","44","Masculino","(18,26]","Nucleo familiar","Soltero","Básica secundaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]","No asalariado",120.562630386881,363300
"12652","5058010-1-2","5058010 - 1","44","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",166.522655632419,498240
"12653","5058034-1-1","5058034 - 1","44","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","Asalariado",95.7724654246144,311400
"12654","5058036-1-1","5058036 - 1","44","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]","No asalariado",117.072525197342,321780
"12655","5058036-1-2","5058036 - 1","44","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",117.072525197342,311400
"12656","5058036-1-3","5058036 - 1","44","Masculino","(14,18]","Nucleo familiar","Soltero","Básica primaria","No","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(0,39]","No asalariado",117.072525197342,41520
"12657","5058043-1-1","5058043 - 1","44","Femenino","(59,100]","Jefe de hogar","Casado y/o union libre","Ninguno/No_sabe","No","Curtido y preparado de cueros, trabajar con cuero","Mas de 5 años","(0,39]","No asalariado",138.085396719232,0
"12658","5058050-1-2","5058050 - 1","44","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",151.000967405889,622800
"12659","5058051-1-1","5058051 - 1","44","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(48,130]","Asalariado",151.972093108923,705840
"12660","5058051-1-5","5058051 - 1","44","Masculino","(26,59]","Otros parientes","Soltero","Básica secundaria","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",151.972093108923,311400
"12661","5058072-1-1","5058072 - 1","44","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Fabricación de productos minerales no metálicos","Entre 1 y 5 años","(48,130]","No asalariado",351.01813586348,311400
"12662","5058082-1-4","5058082 - 1","44","Femenino","(14,18]","Otros No parientes","Separado y/o viudo","Básica secundaria","No","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]","Asalariado",99.8823284531557,207600
"12663","5058143-1-1","5058143 - 1","47","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",131.042261705853,830400
"12664","5058143-1-2","5058143 - 1","47","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",131.042261705853,830400
"12665","5058143-1-3","5058143 - 1","47","Masculino","(26,59]","Otros parientes","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",131.042261705853,423504
"12666","5058166-1-1","5058166 - 1","47","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]","No asalariado",186.404771109185,62280
"12667","5058166-1-3","5058166 - 1","47","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Captación, depuración y distribución de agua","Entre 1 y 5 años","(39,48]","Asalariado",186.404771109185,960303.624
"12668","5058222-1-1","5058222 - 1","47","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]","No asalariado",312.49717191544,373680
"12669","5058259-1-1","5058259 - 1","47","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",172.257705888089,1557000
"12670","5058294-1-2","5058294 - 1","47","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",147.932551497083,747360
"12671","5058294-1-3","5058294 - 1","47","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",147.932551497083,726600
"12672","5058303-1-1","5058303 - 1","47","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",184.68818041406,622800
"12673","5058303-1-2","5058303 - 1","47","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Intermediación financiera","Entre 1 y 5 años","(39,48]","No asalariado",184.68818041406,726600
"12674","5058336-1-2","5058336 - 1","50","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Elaboración de productos alimenticios","Menos de 1 año","(48,130]","Asalariado",291.213074235958,249120
"12675","5058336-1-6","5058336 - 1","50","Masculino","(18,26]","Otros No parientes","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","No asalariado",291.213074235958,259500
"12676","5058369-1-1","5058369 - 1","50","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","No asalariado",218.596458677339,622800
"12677","5058369-1-3","5058369 - 1","50","Femenino","(18,26]","Otros parientes","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",218.596458677339,871920
"12678","5058369-1-6","5058369 - 1","50","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",218.596458677339,986100
"12679","5058369-1-7","5058369 - 1","50","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",218.596458677339,934200
"12680","5058432-1-1","5058432 - 1","50","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",522.297100534847,934200
"12681","5058456-1-1","5058456 - 1","50","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Educación","Entre 1 y 5 años","(39,48]","Asalariado",228.096033146347,519000
"12682","5058508-1-1","5058508 - 1","50","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Construcción","Menos de 1 año","(48,130]","Asalariado",516.319623099348,871920
"12683","5058508-1-2","5058508 - 1","50","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(0,39]","No asalariado",516.319623099348,41520
"12684","5058510-1-1","5058510 - 1","50","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",613.340188318602,1162560
"12685","5058510-1-5","5058510 - 1","50","Masculino","(14,18]","Otros No parientes","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","Asalariado",613.340188318602,1245600
"12686","5058510-1-7","5058510 - 1","50","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",613.340188318602,311400
"12687","5058570-1-1","5058570 - 1","52","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(48,130]","No asalariado",221.404109787643,519000
"12688","5058593-1-1","5058593 - 1","52","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]","Asalariado",275.464191611565,311400
"12689","5058593-1-2","5058593 - 1","52","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",275.464191611565,1660800
"12690","5058593-1-3","5058593 - 1","52","Masculino","(18,26]","Nucleo familiar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","Asalariado",275.464191611565,622800
"12691","5058593-1-5","5058593 - 1","52","Masculino","(18,26]","Otros No parientes","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",275.464191611565,622800
"12692","5058652-1-1","5058652 - 1","52","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Construcción","Menos de 1 año","(48,130]","No asalariado",297.2631460662,954960
"12693","5058652-1-2","5058652 - 1","52","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",297.2631460662,934200
"12694","5058656-1-1","5058656 - 1","52","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",189.277635810403,506544
"12695","5058658-1-2","5058658 - 1","52","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(48,130]","Asalariado",230.727322717486,622800
"12696","5058658-1-4","5058658 - 1","52","Femenino","(18,26]","Nucleo familiar","Soltero","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",230.727322717486,1038000
"12697","5058658-1-6","5058658 - 1","52","Femenino","(26,59]","Otros No parientes","Soltero","Superior o universitaria","Si","Elaboración de productos alimenticios","Menos de 1 año","(48,130]","Asalariado",230.727322717486,0
"12698","5058677-1-2","5058677 - 1","52","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(48,130]","Asalariado",217.895663380295,747360
"12699","5058677-1-3","5058677 - 1","52","Masculino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","No asalariado",217.895663380295,311400
"12700","5058679-1-2","5058679 - 1","52","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",221.45050601153,664320
"12701","5058681-1-1","5058681 - 1","52","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",204.475711210169,622800
"12702","5058681-1-2","5058681 - 1","52","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",204.475711210169,726600
"12703","5058682-1-1","5058682 - 1","52","Masculino","(18,26]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",223.499577545694,726600
"12704","5058686-1-1","5058686 - 1","52","Femenino","(18,26]","Jefe de hogar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",182.588499587374,859584.408
"12705","5058767-1-1","5058767 - 1","54","Femenino","(18,26]","Jefe de hogar","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","No asalariado",338.049454576436,1349400
"12706","5058768-1-2","5058768 - 1","54","Masculino","(26,59]","Otros No parientes","Soltero","Media (10o -13o)","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","Asalariado",468.265066693122,952884
"12707","5058771-1-1","5058771 - 1","54","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Educación","Menos de 1 año","(48,130]","No asalariado",416.786646603398,519000
"12708","5058771-1-2","5058771 - 1","54","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]","No asalariado",416.786646603398,0
